389,109,128,107
386,113,125,111
334,122,72,117
307,126,45,120
335,126,73,121
362,127,101,123
339,130,77,125
302,132,40,125
347,133,85,129
385,135,123,132
383,139,122,137
308,146,45,140
277,147,13,139
292,147,28,140
336,148,74,144
279,151,15,143
310,151,47,145
446,152,183,153
387,153,125,151
283,166,19,159
291,166,27,160
402,167,139,166
291,170,27,163
285,173,21,166
303,173,39,167
291,174,27,167
317,204,53,200
286,205,21,199
281,214,16,208
281,218,16,212
275,221,9,215
285,222,20,217
295,230,30,225
298,231,33,226
274,243,8,238
