45,163,468,34
465,173,204,207
135,193,221,280
151,200,345,200
200,205,100,251
464,206,204,207
231,208,100,251
251,208,100,251
236,209,462,34
463,210,203,211
278,215,17,211
458,238,197,239
461,239,200,239
466,246,205,246
451,247,191,247
443,251,351,183
359,253,100,251
52,256,287,299
342,270,82,268
430,285,170,284
433,292,352,187
434,303,173,301
331,307,394,65
433,308,173,307
407,309,147,307
294,312,33,310
305,312,45,310
319,312,59,311
326,313,66,311
433,313,172,312
315,315,55,313
431,318,170,316
411,322,151,320
429,322,169,320
