307,127,45,121
334,127,73,122
363,127,101,124
227,128,45,121
373,128,431,202
201,129,45,121
174,130,45,121
149,131,45,121
284,131,21,123
98,132,45,121
303,132,40,125
223,133,40,125
346,133,29,126
197,134,40,125
238,134,29,126
265,134,29,126
291,134,56,128
212,135,29,126
26,136,21,123
160,137,56,128
108,138,56,128
85,139,29,126
277,145,13,137
304,145,41,139
197,147,68,140
59,151,312,259
277,152,13,144
331,152,41,146
179,154,48,146
198,154,41,146
349,154,7,246
103,156,48,146
331,164,13,158
277,165,13,158
284,165,20,158
304,165,13,158
311,165,20,158
197,166,13,158
205,166,20,158
102,168,20,158
121,168,13,158
78,169,20,158
47,170,13,158
277,172,12,165
285,172,21,165
206,173,21,165
231,173,21,165
107,175,21,165
54,176,21,165
57,176,21,165
298,205,33,199
275,221,7,246
273,251,7,246
51,343,334,342
