430,64,174,68
345,100,88,96
409,132,150,133
420,134,161,136
446,136,150,133
465,137,204,141
457,138,161,136
410,151,187,157
447,154,187,157
401,169,141,169
347,179,87,176
348,186,87,184
426,187,165,188
431,188,169,189
301,206,39,201
413,231,150,231
445,231,182,232
403,232,141,231
424,233,162,233
450,233,187,234
459,244,195,245
414,250,187,157
451,251,187,157
404,256,141,255
86,257,417,162
404,270,141,269
77,273,355,169
356,276,93,274
360,276,97,274
416,278,153,277
425,278,161,278
42,285,161,136
356,285,93,283
361,285,98,283
425,298,161,297
426,307,162,306
411,330,147,329
443,330,178,329
113,361,187,157
437,374,173,372
473,374,207,372
437,380,173,377
473,382,207,379
