389,109,128,107
386,113,125,111
334,122,72,117
173,124,44,115
307,126,45,120
335,126,73,121
227,127,45,120
362,127,101,123
200,128,45,120
174,129,45,120
339,130,77,125
302,132,40,125
223,133,40,125
319,133,29,126
347,133,85,129
196,134,40,125
239,134,29,126
187,135,29,126
385,135,123,132
383,139,122,137
285,146,49,140
308,146,45,140
277,147,13,139
292,147,28,140
202,148,45,140
212,148,28,140
336,148,74,144
78,151,49,140
96,151,13,139
279,151,15,143
310,151,47,145
54,152,49,140
212,152,28,144
225,152,42,145
446,152,183,153
178,153,47,145
387,153,125,151
53,157,47,145
283,166,19,159
291,166,27,160
402,167,139,166
291,170,27,163
285,173,21,166
303,173,39,167
232,174,21,166
291,174,27,167
122,176,21,166
134,176,27,167
71,177,12,166
28,179,27,167
317,204,53,200
246,205,21,199
286,205,21,199
65,207,34,199
54,208,21,199
281,214,16,208
281,218,16,212
58,220,272,179
275,221,9,215
285,222,20,217
295,230,30,225
298,231,33,226
274,243,8,238
51,342,335,341
113,622,173,377
