154,98,354,168
134,100,354,168
345,101,88,97
350,104,93,101
212,110,354,168
144,135,207,372
257,137,354,168
225,142,354,168
401,171,141,170
347,178,86,175
108,183,141,170
106,188,354,168
347,188,87,185
78,201,141,170
76,217,354,168
446,231,182,232
404,232,142,232
412,232,150,232
425,233,163,233
449,233,186,234
405,254,142,253
75,272,354,168
139,274,207,372
358,276,95,274
427,278,163,278
44,286,141,170
24,299,93,101
45,304,354,168
426,308,162,307
473,374,207,372
437,375,172,372
473,379,207,376
437,380,173,377
