45,161,468,33
467,168,208,171
465,176,206,176
458,209,198,210
425,214,166,214
277,215,17,210
276,231,15,227
440,234,180,234
471,236,210,236
447,239,187,239
292,240,32,236
457,240,196,240
467,246,206,247
451,247,191,248
462,249,201,250
452,250,191,248
471,250,210,251
360,252,100,250
282,254,21,251
356,255,97,253
437,269,177,269
434,270,174,269
437,273,196,240
433,276,172,274
422,278,162,277
439,279,179,278
433,283,173,282
410,289,150,288
433,289,172,288
283,293,22,290
440,294,180,292
272,296,11,294
415,297,155,296
429,297,168,296
434,298,174,297
435,301,174,300
423,304,162,302
406,306,146,304
406,309,146,308
305,312,45,310
318,312,58,310
297,313,37,311
418,313,158,312
434,313,174,311
323,314,63,312
328,314,68,312
430,319,170,317
430,322,170,320
441,343,180,341
447,348,186,346
